"","","","2013-14 ","2014-15 ","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 (4)","2020-21 ","","","","2021-22 ","","","","2022-23 ","","",""
"","Healthy individuals (includes Screening) ","Healthy individuals (includes Screening) ",52.168118,35.350931,37.179486,46.459588,47.49467,48.137587,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Social care needs ","Social care needs ",25.139728,31.437402,35.842805,33.982121,31.356674,30.624583,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Other ","",244.422486,238.193578,260.813165,241.694486,268.616483,301.975587,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Other ","General medical services ",92.296527,94.973375,98.903899,108.842222,114.079547,124.460581,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Open access ",40.2004,32.517993,39.340153,28.111631,25.832787,29.555279,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Continuing care ",32.931532,39.142853,46.850532,37.358488,43.926057,57.271599,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Other PHW functions (3)",22.969503,23.765996,24.772019,19.547017,21.986177,23.712133,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Other expenditure ",56.024525,47.793361,50.946562,47.835129,62.791915,66.975995,".",".",".",".",".",".",".",".",".",".",".",".","."


