"","","","2013-14 ","2014-15 ","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 (4)","2020-21 ","","","","2021-22 ","","","","2022-23 ","","",""
"","","Sexually transmitted infections (2)",".",".",".",".",".",".",59.697,0,138.308,0,138.308,0,70.163,0,70.163,0,283.59981,0,283.59981
"","","Other problems of the genito urinary system ",".",".",".",".",".",".",18470.547,3443.629,15471.88,0,18915.509,3151.548,15599.878,0,18751.426,3181.789,18013.789481,0,21195.578481
"","Maternity & reproductive health ","Maternity & reproductive health ",".",".",".",".",".",".",38634.597,1346.157,37833.767,0,39179.924,1289.589,35851.32,0,37140.909,1347.991,39389.119169,0,40737.110169
"","Neonates ","Neonates ",".",".",".",".",".",".",10645.049,43.225,12754.588,0,12797.813,42.588,13492.215,0,13534.803,44.397,10806.814344,0,10851.211344
"","Poisoning ","Poisoning ",".",".",".",".",".",".",10193.723,42.981,12572.113,0,12615.094,53.894,10643.582,0,10697.476,53.987,13661.383499,0,13715.370499
"","Healthy individuals (includes Screening) ","Healthy individuals (includes Screening) ",".",".",".",".",".",".",20556.808421,1926.889,32422.542,3852.612264,38202.043264,2208.51,39360.577,4749.973916,46319.060916,2770.89,36718.83963,5723.041892,45212.771522
"","Social care needs ","Social care needs ",".",".",".",".",".",".",14874.68,43.916,13182.935,0,13226.851,249.959,14681.232,0,14931.191,167.77,16075.379262,0,16243.149262
"","Other ","",".",".",".",".",".",".",159000.231129,62181.068,80337.856,10536.652192,153055.576192,66192.496,99640.532,15323.021852,181156.049852,66653.456,76180.300324,18496.668541,161330.424865
"","Other ","General medical services ",".",".",".",".",".",".",53420.501,59094,3310.234,0,62404.234,63145.372,4367.209,0,67512.581,63701.13,778.654699,0,64479.784699
"","","Open access ",".",".",".",".",".",".",14960.534,3.737,21958.533,0,21962.27,1.858,27997.062,0,27998.92,0,27909.938578,0,27909.938578
"","","Continuing care ",".",".",".",".",".",".",18279.956,345.719,13429.936,0,13775.655,475.761,14375.982,0,14851.743,480.89,18735.202524,0,19216.092524
"","","Other PHW functions (3)",".",".",".",".",".",".",11915.426129,0,0,10536.652192,10536.652192,0,0,15323.021852,15323.021852,0,0,18496.668541,18496.668541
"","","Other expenditure ",".",".",".",".",".",".",60423.814,2737.612,41639.153,0,44376.765,2569.505,52900.279,0,55469.784,2471.436,28756.504523,0,31227.940523


