"","","","2009-10 ","2010-11 ","2011-12 ","2012-13 ","2013-14 ","2014-15 ","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 (4)"
"","","Sexually transmitted infections (2)",0,0,0,15777.148948,17604.430276,16785.502329,17750.075,7103.548932,4995.609586,5216.731777,5475.364546
"","","Other problems of the genito urinary system ",74615.194192,87212.526389,91670.421434,119919.204016,118794.035591,131126.481619,141751.433633,145661.436251,126861.094035,135749.7818,134106.416904
"","Healthy individuals (includes Screening) ","Healthy individuals (includes Screening) ",137957.750538,142607.229041,146558.110626,121088.619544,114629.289515,109167.542259,112298.737233,132157.901081,124182.523731,135003.8475,146357.101668
"","Hearing problems ","Hearing problems ",26277.510625,26561.027513,26795.976573,23556.396182,27725.03752,28276.262919,33180.81583,34747.448129,36165.056732,36809.31912,41612.012996
"","Infectious diseases ","Infectious diseases ",75470.468372,80741.549564,77967.025525,72821.352277,74892.996228,76806.263007,84787.757896,86672.139157,131931.451133,116907.8672,121630.210235
"","Learning disability problems ","Learning disability problems ",119782.276639,119724.975475,118619.062175,122400.547471,123928.255914,131554.937336,135505.462105,144459.540978,155772.717132,164975.4523,168546.220824
"","Maternity & reproductive health ","Maternity & reproductive health ",183692.992161,192001.444958,191552.000831,178287.260252,188959.031976,192323.815251,200809.076709,208742.698797,215579.585419,223343.2507,235069.232263
"","Mental health problems ","",607446.534821,636711.506223,641841.785605,617500.84598,634474.271029,663251.248863,679989.582119,712264.347775,746248.393788,755836.4356,809849.661183
"","Mental health problems ","General mental illness ",306627.437126,327713.285303,316356.351525,254376.907438,271146.548352,305874.256237,310310.464507,312059.832518,338486.221408,345526.8766,377844.945012
"","","Elderly mental illness ",167445.260585,176320.533955,186407.728336,178856.514032,181934.752287,201672.656939,210034.655873,228784.21629,231694.638703,228889.4731,241086.023504
"","","Child & adolescent mental health services ",43814.263098,41928.562833,42819.898577,42846.746061,40248.623802,41320.279494,46373.230964,48853.608137,52295.279139,57038.59473,72544.792302
"","","Other mental health problems ",89559.578758,90749.124132,96257.807167,141420.678448,141144.346589,114384.056193,113271.230774,122566.690829,123772.254538,124381.4912,118373.900364
"","Musculo skeletal system problems (exc Trauma) ","Musculo skeletal system problems (exc Trauma) ",331505.589818,334850.446903,355409.054214,345776.655422,342629.42752,352709.331125,357783.785075,377494.350856,366445.169822,378977.8268,395842.83914
"","Neonates ","Neonates ",44929.234807,43344.516996,45756.067347,48853.916814,50075.855746,48981.844353,54332.087961,56138.516905,53167.651272,56373.67649,62263.594078
"","Neurological system problems ","Neurological system problems ",164611.236606,171250.678975,167405.078356,247709.220217,266829.252218,283726.716159,315184.260819,317843.643043,297409.456258,301696.1722,317953.349734
"","Other ","",759532.721949,763336.460504,775752.578256,763550.898405,767116.790095,790438.655942,834147.284616,864285.002853,953096.213956,986313.463,1040824.521332
"","Other ","General medical services ",360506.221603,329471.273994,328289.419746,341964.758536,334185.533205,361690.259537,368476.356958,374276.728367,405596.264271,435595.6555,437412.087686
"","","Open access ",64790.139105,69837.437552,82225.136503,82241.102792,82267.649191,80733.398142,82924.890419,86098.952817,80558.569366,81568.75803,81699.999082
"","","Continuing care ",162265.45923,150407.347813,123001.836789,128677.434071,116502.097463,123337.876419,126593.705511,134011.124808,141164.759537,144759.326,132144.720029
"","","Other PHW functions (3)",0,25240,27186.313,42422.899,70814,73463,76745,61512,68719,74410.08041,83737.474488
"","","Other expenditure ",171970.902011,188380.401145,215049.872217,168245.196231,163347.510236,151214.121844,179407.331728,208386.196862,257057.620782,249979.643,305830.240048
"","Poisoning ","Poisoning ",61569.286314,61897.485556,62481.998786,64844.65761,66579.847219,65417.76261,68835.081725,72239.587152,68817.124219,68537.40682,73341.074677
"","Respiratory problems ","Respiratory problems ",338337.371244,349257.281593,354673.563902,361766.409652,363487.739339,387025.366906,406502.81723,432147.527655,419501.347062,430669.9712,461138.894199
"","Skin problems ","Skin problems ",103110.358642,106208.474825,108037.054275,128316.947226,134065.402689,132988.925199,138861.471639,144531.984544,140287.120373,147812.7221,155358.008205
"","Social care needs ","Social care needs ",47942.929498,44077.155205,42851.302537,45146.126469,49110.486008,50022.904338,57899.024483,59205.80606,61919.394053,66883.04671,73429.350183
"","Trauma & injuries (inc burns) ","Trauma & injuries (inc burns) ",368930.519776,377076.398359,357931.547868,367449.535034,393184.760957,416919.166173,440429.373833,450492.187588,457036.917704,484546.6928,539496.665728


