"","","","2013-14 ","2014-15 ","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 (4)","2020-21 ","","","","2021-22 ","","","","2022-23 ","","",""
"","Healthy individuals (includes Screening) ","Healthy individuals (includes Screening) ",15398.672,10461.295,11028.365,13839.986078,14204.705854,14456.39125,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Social care needs ","Social care needs ",7420.594,9303.176,10631.872,10123.036,9378.154,9196.991,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Other ","",72147.163,70487.911,77363.705,71999.095446,80337.817674,90687.4964,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Other ","General medical services ",27243.535,28105.186,29337.369,32423.336,34118.911,37377.255,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Open access ",11866.113,9622.952,11669.273,8374.258,7726.07,8875.864,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Continuing care ",9720.532,11583.427,13897.039,11128.832,13137.405,17199.463,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Other PHW functions (3)",6780,7033,7348,5822.919446,6575.625674,7121.085398,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Other expenditure ",16536.983,14143.346,15112.024,14249.75,18779.806,20113.829,".",".",".",".",".",".",".",".",".",".",".",".","."


